
2026/04/22 (18:06:09) | ===> btop++ v.1.3.2
2026/04/22 (18:06:09) | WARNING: Failed to join _runner thread on exit!

2026/04/27 (18:51:47) | ===> btop++ v.1.3.2
2026/04/27 (18:51:47) | WARNING: Failed to join _runner thread on exit!

2026/05/11 (18:47:36) | ===> btop++ v.1.3.2
2026/05/11 (18:47:36) | WARNING: ROCm SMI: Failed to get device name
2026/05/11 (18:47:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/05/11 (18:47:36) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/05/11 (18:47:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2026/05/11 (18:47:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/05/11 (18:47:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2026/05/11 (18:47:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2026/05/11 (18:47:36) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/05/11 (18:47:57) | WARNING: Failed to join _runner thread on exit!

2026/05/11 (19:27:15) | ===> btop++ v.1.3.2
2026/05/11 (19:27:15) | WARNING: ROCm SMI: Failed to get device name
2026/05/11 (19:27:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/05/11 (19:27:15) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/05/11 (19:27:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2026/05/11 (19:27:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/05/11 (19:27:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2026/05/11 (19:27:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2026/05/11 (19:27:15) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/05/11 (19:27:20) | WARNING: Failed to join _runner thread on exit!

2026/05/12 (21:54:07) | ===> btop++ v.1.3.2
2026/05/12 (21:54:07) | WARNING: ROCm SMI: Failed to get device name
2026/05/12 (21:54:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/05/12 (21:54:07) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/05/12 (21:54:07) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2026/05/12 (21:54:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/05/12 (21:54:07) | WARNING: ROCm SMI: Failed to get VRAM utilization
2026/05/12 (21:54:07) | WARNING: ROCm SMI: Failed to get GPU power usage
2026/05/12 (21:54:07) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/05/12 (22:04:18) | WARNING: Failed to join _runner thread on exit!

2026/05/13 (09:48:29) | ===> btop++ v.1.3.2
2026/05/13 (09:48:29) | WARNING: ROCm SMI: Failed to get device name
2026/05/13 (09:48:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/05/13 (09:48:29) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/05/13 (09:48:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2026/05/13 (09:48:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/05/13 (09:48:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2026/05/13 (09:48:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2026/05/13 (09:48:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/05/13 (13:42:16) | ===> btop++ v.1.3.2
2026/05/13 (13:42:16) | WARNING: ROCm SMI: Failed to get device name
2026/05/13 (13:42:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/05/13 (13:42:16) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/05/13 (13:42:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2026/05/13 (13:42:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/05/13 (13:42:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2026/05/13 (13:42:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2026/05/13 (13:42:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/05/13 (16:38:16) | ===> btop++ v.1.3.2
2026/05/13 (16:38:16) | WARNING: ROCm SMI: Failed to get device name
2026/05/13 (16:38:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/05/13 (16:38:16) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/05/13 (16:38:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2026/05/13 (16:38:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/05/13 (16:38:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2026/05/13 (16:38:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2026/05/13 (16:38:16) | WARNING: ROCm SMI: Failed to get PCIe throughput
